1,12
2,25
3,39
4,54
5,70
6,87
7,105
8,124
9,144
10,165
11,187
12,210
13,234
14,259
15,285
16,312
17,340
18,369
19,399
20,430
21,462
22,495
23,529
24,564
25,600
26,637
27,675
28,714
29,754
30,795
31,837
32,880
33,924
34,969
35,1015
36,1062
37,1110
38,1159
39,1209
40,1260
41,1312
42,1365
43,1419
44,1474
45,1530
46,1587
47,1645
48,1704
49,1764
50,1825
51,1887
52,1950
53,2014
54,2079
55,2145
56,2212
57,2280
58,2349
59,2419
60,2490
61,2562
62,2635
63,2709
64,2784
65,2860
66,2937
67,3015
68,3094
69,3174
70,3255
71,3337
72,3420
73,3504
74,3589
75,3675
76,3762
77,3850
78,3939
79,4029
80,4120
81,4212
82,4305
83,4399
84,4494
85,4590
86,4687
87,4785
88,4884
89,4984
90,5085
91,5187
92,5290
93,5394
94,5499
95,5605
96,5712
97,5820
98,5929
99,6039
100,6150
101,6262
102,6375
103,6489
104,6604
105,6720
106,6837
107,6955
108,7074
109,7194
110,7315
111,7437
112,7560
113,7684
114,7809
115,7935
116,8062
117,8190
118,8319
119,8449
120,8580
121,8712
122,8845
123,8979
124,9114
125,9250
126,9387
127,9525
128,9664
129,9804
130,9945
131,10087
132,10230
133,10374
134,10519
135,10665
136,10812
137,10960
138,11109
139,11259
140,11410
141,11562
142,11715
143,11869
144,12024
145,12180
146,12337
147,12495
148,12654
149,12814
150,12975
151,13137
152,13300
153,13464
154,13629
155,13795
156,13962
157,14130
158,14299
159,14469
160,14640
161,14812
162,14985
163,15159
164,15334
165,15510
166,15687
167,15865
168,16044
169,16224
170,16405
171,16587
172,16770
173,16954
174,17139
175,17325
176,17512
177,17700
178,17889
179,18079
180,18270
181,18462
182,18655
183,18849
184,19044
185,19240
186,19437
187,19635
188,19834
189,20034
190,20235
191,20437
192,20640
193,20844
194,21049
195,21255
196,21462
197,21670
198,21879
199,22089
200,22300

