1,18
2,24
3,30
4,36
5,42
6,48
7,54
8,60
9,66
10,72
11,78
12,84
13,90
14,96
15,102
16,108
17,114
18,120
19,126
20,132
21,138
22,144
23,150
24,156
25,162
26,168
27,174
28,180
29,186
30,192
31,198
32,204
33,210
34,216
35,222
36,228
37,234
38,240
39,246
40,252
41,258
42,264
43,270
44,276
45,282
46,288
47,294
48,300
49,306
50,312
51,318
52,324
53,330
54,336
55,342
56,348
57,354
58,360
59,366
60,372
61,378
62,384
63,390
64,396
65,402
66,408
67,414
68,420
69,426
70,432
71,438
72,444
73,450
74,456
75,462
76,468
77,474
78,480
79,486
80,492
81,498
82,504
83,510
84,516
85,522
86,528
87,534
88,540
89,546
90,552
91,558
92,564
93,570
94,576
95,582
96,588
97,594
98,600
99,606
100,612
101,618
102,624
103,630
104,636
105,642
106,648
107,654
108,660
109,666
110,672
111,678
112,684
113,690
114,696
115,702
116,708
117,714
118,720
119,726
120,732
121,738
122,744
123,750
124,756
125,762
126,768
127,774
128,780
129,786
130,792
131,798
132,804
133,810
134,816
135,822
136,828
137,834
138,840
139,846
140,852
141,858
142,864
143,870
144,876
145,882
146,888
147,894
148,900
149,906
150,912
151,918
152,924
153,930
154,936
155,942
156,948
157,954
158,960
159,966
160,972
161,978
162,984
163,990
164,996
165,1002
166,1008
167,1014
168,1020
169,1026
170,1032
171,1038
172,1044
173,1050
174,1056
175,1062
176,1068
177,1074
178,1080
179,1086
180,1092
181,1098
182,1104
183,1110
184,1116
185,1122
186,1128
187,1134
188,1140
189,1146
190,1152
191,1158
192,1164
193,1170
194,1176
195,1182
196,1188
197,1194
198,1200
199,1206
200,1212

